J [mA/cm^2],V_cell,T [°C],P [bar]
19.13043478,1.471319036,70,30
95.65217391,1.584012926,70,30
145.5072464,1.618598707,70,30
210.4347826,1.660317274,70,30
346.0869565,1.736674501,70,30
470.1449275,1.81300235,70,30
594.2028986,1.866019389,70,30
725.2173913,1.921081081,70,30
20.28985507,1.493619271,60,30
94.49275362,1.608334313,60,30
145.5072464,1.649004113,60,30
210.4347826,1.689709166,60,30
347.2463768,1.785326087,60,30
467.826087,1.856577556,60,30
596.5217391,1.91670094,60,30
721.7391304,1.96769389,60,30
16.8115942,1.50577262,50,30
93.33333333,1.623534078,50,30
143.1884058,1.666227967,50,30
208.115942,1.709973561,50,30
350.7246377,1.814726792,50,30
467.826087,1.884955934,50,30
594.2028986,1.955208578,50,30
724.057971,2.010267333,50,30
