J [A/cm^2],V [V]
0.186456373,1.836552825
0.192411792,1.844429519
0.198367817,1.851162916
0.204323522,1.858500395
0.210279317,1.865667596
0.21623523,1.872611814
0.222191251,1.879353319
0.228147444,1.885770485
0.234103357,1.892714703
0.240060087,1.898118308
0.246015678,1.905670662
0.251972622,1.910668842
0.257928697,1.917308992
0.263885072,1.923381547
0.269841695,1.928987864
0.275798081,1.935040148
0.281754789,1.940484295
0.28771139,1.946131155
0.293667636,1.952446965
0.29962442,1.957749214
0.305581075,1.963294717
0.311537246,1.969752426
0.317494889,1.973432977
0.323451226,1.979578509
0.32940865,1.983672593
0.335365143,1.989522165
0.341321976,1.994731166
