J [mA/cm^2],Vcell [V]
80.87291399,1.638333999
90.69319641,1.653625096
99.35815148,1.649989213
118.4210526,1.665435648
131.7073171,1.69969256
149.6148909,1.68864899
162.9011553,1.700216826
179.6534018,1.723187452
198.1386393,1.734842666
216.6238768,1.754060905
235.6867779,1.750599778
253.0166881,1.78492465
270.3465982,1.777652884
289.987163,1.796890541
307.3170732,1.8274339
325.224647,1.835297893
337.9332478,1.839292996
352.9525032,1.835763908
370.2824134,1.866307267
379.5250321,1.862681093
387.0346598,1.862807305
402.6315789,1.885758514
410.7188703,1.882112922
420.5391528,1.882277969
433.8254172,1.927879419
427.4711168,1.916428086
